Offer Type,Video Count,Setup Price Range,Monthly Price Range,Top Revenue Claims,Common Niches,Key Tools,Creators Covering This
general_ai_agency,654,"$1 - $100,000","$10 - $30,000","earn $2,000 to $3,000 per client; $67,000 in eight days; Generated over $10 million in revenue from AI businesses.; Over 100K a month; You can make $1,500 per month with five clients at $300 each.","entrepreneurs, industry experts; AI automation; medical spas; affiliate marketing; AI industry",".Online domain, 500+ AI tools, ACQ AI, AI, AI Accelerator, AI Agents Resources, AI Audit Guide, AI Audit guide, AI Marketing Tools, AI Store Builder","10Alytics Business, AI Acquisition - Jordan Lee, AI Agents By Jeff, AI Alfie , AI Andy, AI Automation Course Reviews by Ippei, AI Chris Lee, AI Daily"
voice_agent,111,"$500 - $15,000","$199 - $8,500","selling for $15,000 or more; most of which are making millions; Negotiated 800+ business deals in 1 day; 10 clients is $5,000 per month; build this out to 10K per month",service industries; businesses looking for automated negotiation solutions; medical spa industry; sales and marketing; med spas,"AI, AI Receptionist, AI receptionist software, AI receptionists, AI tools, AI tools for voice agents, AI tools for voice automation, AI voice technology, AndyNoCode AI Ecosystem, AnyTen","Adam Erhart, Alex Leischow, Andy Lo, Anthony Shoosh, Anthony Ton | AI Voice Agents, Antonio Thompson, Ashton Voss , Autocalls"
workflow_automation,56,"$29 - $35,000","$300 - $5,000",save $900 a month compared to hiring a full-time assistant; Made over six figures in 12 months; $5000 setup fee; $5000 per month per client; $10M/yr potential,businesses looking for automation solutions; general; businesses needing task automation; Med Spa industry; e-commerce,"AI, AI Accelerator, AI Smart Launch Lab, AI agents, AI automation tools, AI templates, AI tools, AI tools for restaurants, Ai Superpower Accelerator Toolkit, Cannonly","AI Chris Lee, AI Pathways, Bart Slodyczka, Ben AI, Charlie Barber, Dan Kieft, Fusefy, Hammad Automates"
content_creation,40,"$150 - $80,000",,"$80,000 for a one-page website; potential to build a $10,000 automation system; $100k/month; The creator claims to have made $1000 selling AI photos to restaurants.; $20k+/Mo","marketing, design, content creation; content creators, entrepreneurs, small businesses; web development, startups; content creators, marketers, businesses looking to enhance content strategies; content creation industry","AI, AI content tools, AI photo generation tools, AI tools, AI video generation tools, AI-powered tools, Amazon KDP, Canva, ChatGPT, Claude","Albert Olgaard, Alfie Carter, Ashton Voss , Brian Moran, Brown Guy AI, Build Great Products, Charlie Barber, Chris Koerner on The Koerner Office Podcast"
lead_gen,36,,$100 - $500,"Get your next 10 clients, guaranteed; $40K per month in 7 months; Get your next 10 clients, guaranteed; Get your next 10 clients, guaranteed; scale from £0 to £10k per month",sales and marketing professionals; sales and marketing; any niche; general; HVAC contractors,"AI Email Sales Agent, AI Lead Engine, AI reasoning models, AI technologies, AI tools, AI tools for email outreach, AI tools for lead generation, AI workflows, AI-powered tools, ChatGPT","AI Founders, Aaron Shepherd | GrowthFlare, Adam Erhart, Automate AI Consulting, Connor Cahill, Contractor University, Danny Menake, Helena Liu"
micro_saas,36,,,"$30K/month; $100,000 per month; $40K/month; $15,000/month; $23,000 per month in recurring revenue","general; SaaS startups; subscription management; SaaS entrepreneurs; tech industry, SaaS users","AI, AI app development tools, AI development tools, AI platforms, AI technologies, AI tools, API connector, Airtable, Base44, ChatGPT","AI Bucks, Adam Lyttle, Brett Malinowski, BridgeMind, Chris Koerner on The Koerner Office Podcast, Christian Peverelli - WeAreNoCode, Dennis Babych, Dr Alex Young"
consulting,31,,"$9,000 - $15,000","Make $100k fast; generated over $300,000; Made over $100,000 from school community and up to $30,000 in one month from AI automations.; scaling to $10k per month; $300k per year profit",aspiring AI agency owners; content agencies; technology and sales industries; general; service-based businesses,"AI Audit Report Template, AI tools for objection handling, Client Capture, Conversion, and Control Kit, GoHighLevel, Make, Monk AI, NAN, OpenAI, Rocket, Vibe McKinsey-style report","AI CERTs®, AI Hustle, Alex Hormozi, Alicia Lyttle, Automate AI Consulting, Brandon Mulrenin, Brendan Bartic, Cameron Olivera"
seo,25,,"$5,000 - $5,000","$10k/month by 2026; $3M/year client; Replace a $5,000/month SEO agency","digital marketing, online businesses; digital marketing, SEO; digital marketing, SEO professionals; dental practices; general businesses","AI SEO tools, AI agent, AI tools, AI tools for SEO, Ahrefs, ChatGPT, Claude, Claude Code, Figma, Gemini","Ahrefs, Ali Solanki, Ayushman Pandita, Ben AI, Dr. Houlik, Forbes, GHL Wizard, Greg Isenberg"
saas_product,21,,$5 - $297,The video mentions achieving revenue but does not specify amounts.; $200K MRR; $297/month per website; $100K/month; $60K/month,"SaaS industry; technology, startups; tech entrepreneurs, startups; various industries; technology startups, entrepreneurs","AI, AI agents, AI development tools, AI tools, Base44, Bubble, GoHighLevel, HighLevel, Replit, SaaS development tools","Casey Zeman, Christian Peverelli - WeAreNoCode, ClearPath Orthodontics, Fireship, Greg Isenberg, ItsKeaton, Jasper Aiken, Kevin Park"
recruiting_automation,18,"$2,200 - $2,200",$100 - $100,$20K/month; 6-7 Figure Recruitment Agency; Start your 6-7 Figure Recruitment Agency; saves 15 hours per week; 6-7 Figure Recruitment Agency,recruiting agencies; recruitment; staffing agencies; staffing and recruiting; recruitment industry,"AI, AI recruitment tools, AI solutions, AI tools, AI tools for recruiters, ChatGPT, Claude, Corecruit.com, Flynt AI, automation tools","Automindz Solutions, Ben AI, Chance Xie, Flynt AI, Haley Marketing, Kamil Grant - Ai & Marketing US, KoleRiggs, Nick Saraev"
