Relevance,Offer Type,Channel,Video Title,Views,Target Audience,Target Niche,Setup Fee (Low),Setup Fee (High),Monthly (Low),Monthly (High),Pricing Model,Revenue Claim,Delivery Method,Tools,Client Acquisition,Time to Deliver,Team Needed,Key Insight,Best Quote,Link
9,chatbot,Pavlo,"Stop Selling BS AI Services, Sell AI Systems - Here’s How",15140,B2B,"roofers, chiropractors, home service businesses",,,,,setup_plus_retainer,"grew past $20,000 per month",AI chatbot setup and demonstration,Google Maps,"cold calling, Google Maps search for businesses with few reviews or poor online presence",set up in three clicks,solo,Focus on providing a complete system transformation rather than just selling AI tools.,"The right question is, 'What complete transformation does this business owner need? What are the outcomes they are trying to achieve with this AI that you are building?'",https://www.youtube.com/watch?v=1mR3t4dREQ8
9,general_ai_agency,The Savvy Couple - Kelan & Brittany ,How to Sell AI Websites to Local Businesses in 2026 (No Tech Skills),130197,B2B,"local small businesses, especially home service providers like plumbers, electricians, and contractors",2000,3000,,,project_based,"earn $2,000 to $3,000 per client",AI-powered website creation using templates and customization,"Google Maps, simple software for website creation",Using Google Maps to identify local businesses without websites and contacting them,10-20 minutes for customization,solo,Use Google Maps to find local businesses lacking websites and offer them a pre-made AI website to improve their online presence.,Most local businesses are losing thousands of dollars a month just because they don't have a real website.,https://www.youtube.com/watch?v=3aeAy3Qs2UA
9,voice_agent|lead_reactivation|crm_automation|workflow_automation,Automate AI Consulting,The Top 4 Industries to Sell Your AI Services in 2026,3040,B2B,"home services, real estate, content creators, professional services",5000,,1000,,setup_plus_retainer|revenue_share,"Earned over $100,000 in the last 10 months; $4,000 per month from one system plus $1,000 monthly retainer.",custom-built systems and automations,,"referrals from satisfied clients, leveraging existing audiences of content creators and coaches",,solo,Leverage existing audiences of content creators and coaches to scale AI automation services.,The beauty of home services is that they understand ROI immediately.,https://www.youtube.com/watch?v=59eGAVn2IH8
9,crm_automation,Dan Martell,How to Get SO Many Customers with AI it feels ILLEGAL,299912,B2B,"Sales teams, entrepreneurs, CRM users",,,,,subscription,Portfolio of companies generating $100 million in revenue this year.,AI-powered CRM tools and automation platforms,"Manis.AI, your.com",Using AI to automate prospecting and qualifying leads,,solo,"AI can automate repetitive tasks in the sales process, allowing humans to focus on high-value interactions.","I look at AI kind of like my spam filter, my email. It has the ability to block junk from entering in my calendar in the first place and fills it only with high intent leads.",https://www.youtube.com/watch?v=5hZCTc_mwOg
9,workflow_automation,Zubair Trabzada | AI Workshop,AI AGENCY 101: How to Price Your Services as a Beginner,2517,B2B,businesses needing task automation,1500,1800,300,400,setup_plus_retainer,save $900 a month compared to hiring a full-time assistant,custom project build and ongoing maintenance,"WhatsApp, Cannonly, HubSpot, Salesforce",value-based pricing and relationship building,,solo,Use value-based pricing to align costs with the ROI delivered to clients.,"Anchor your price to the value you're creating, not just the time and effort that you're putting in.",https://www.youtube.com/watch?v=6Svjtp4LJKc
9,voice_agent,Zack Kirk,7 BEST AI Agents To Sell In 2026 (For Beginners),4148,B2B,service-based businesses,2000,4000,500,,setup_plus_retainer,"selling for $15,000 or more",build and hand over the system or maintain it for a retainer,,"start with low-risk, easy-to-sell agents to build trust",,solo,"Start with simple, low-risk agents to build trust and then upsell to more comprehensive solutions.",The businesses with the highest volume of reviews and strongest ratings are going to get skyrocketed to the top of the page.,https://www.youtube.com/watch?v=6u9X4VZMGXU
9,general_ai_agency,Carson Reed,"How I make a $66,697/Week selling ai at 18",305501,B2B,"roofers, HVAC, solar, bookkeepers, real estate agents, home service, professional services",5000,10000,,,setup_plus_retainer,"$67,000 in eight days",AI system setup and ongoing service,,targeting top 20% earners in specific industries,little time once learned,small team,Focus on high-profit industries with low tech skills and offer a differentiated service from traditional marketing agencies.,"We're going to charge A5 to $10,000 upfront offer that you're going to build an AI system for them.",https://www.youtube.com/watch?v=7IUjT0AUdi8
9,general_ai_agency,Liam Ottley,How to Build & Sell AI Agents in 2026: Ultimate Beginner’s Guide,154163,Both,"Fortune 500 companies, NBA teams, publicly traded companies",,,,,null,Generated over $10 million in revenue from AI businesses.,Online video course,,Through YouTube channel and community engagement,,solo,AI agents are digital workers that can perform tasks continuously and at a lower cost than human employees.,An AI agent is a digital worker that can understand instructions and take actions to complete tasks.,https://www.youtube.com/watch?v=AYQtRqW1xX4
9,general_ai_agency,Ben AI,How to Actually Price AI Automation Services,6357,B2B,,,,,,setup_plus_retainer,Over 100K a month,project-based delivery with potential retainer,,Building trust through small projects and offering free initial projects for testimonials,less than a week for initial small projects,solo,"Start with small, simple projects to build trust and avoid underscoping.","What's the shortest, simplest path that still provides value?",https://www.youtube.com/watch?v=COtpdR5Nbho
9,general_ai_agency,Jason Wardrop,How To Start An AI Automation Agency (Beginners Guide),22120,B2B,small local businesses,,,300,500,monthly_only,"You can make $1,500 per month with five clients at $300 each.",no-code tools for AI setup,,cold calling local businesses and using ROI calculators,a matter of minutes,solo,Use a missed call text back service to capture leads that would otherwise be lost.,We're going to set this business owner up with a simple service I like to call automiss call text back.,https://www.youtube.com/watch?v=Dgs1tQngbec
