Channel,Offer Type,Script/Word Track,Context,Link
Pavlo,chatbot,cold calling script that books meetings by tweaking presentation of AI services,"Stop Selling BS AI Services, Sell AI Systems - Here’s How",https://www.youtube.com/watch?v=1mR3t4dREQ8
The Savvy Couple - Kelan & Brittany ,general_ai_agency,"email script, phone script, and text message script provided in the free course",How to Sell AI Websites to Local Businesses in 2026 (No Tech Skills),https://www.youtube.com/watch?v=3aeAy3Qs2UA
John Whitford,voice_agent,"Hey, Mr. and Mrs. business owner, how many calls do you miss? How much are you spending on your receptionist?",This simple AI service is worth $500 per month to business owners,https://www.youtube.com/watch?v=Oz8MUOUPymo
Jason Wardrop,review_automation,call scripts provided in a free course,How To Sell AI Review Automation to Local Businesses (Full Guide),https://www.youtube.com/watch?v=StTmYHPHElQ
Adam Erhart,voice_agent,simple copy and paste DM script,The Simplest AI Agency to Start in 2026 (Step-by-Step),https://www.youtube.com/watch?v=ZkwT2C17tjM
Chris Koerner on The Koerner Office Podcast,chatbot,includes a prompt to make AI sound human over text,This Might Be the Easiest Way to Sell AI to Businesses,https://www.youtube.com/watch?v=g4-3AxelI_Y
Jason Wardrop,lead_reactivation,Sales pitch involves using an ROI calculator to demonstrate potential revenue from missed calls.,Sell AI Automation to Local Businesses (Beginner Step-by-Step Guide),https://www.youtube.com/watch?v=iUNzRKOC25w
Adam Erhart,general_ai_agency,Proven client getting scripts word for word,How to Actually Start a PROFITABLE AI Agency in 2026,https://www.youtube.com/watch?v=s2KTYJOU7Yw
Michele Torti,voice_agent,cold calling script available in another video,6 AI Agency Offers That Actually Make Money in 2026,https://www.youtube.com/watch?v=vYRUpnnePmA
Connor Cahill,voice_agent,"Hey business owners, do you want to be the only business in your area who can take calls after 5:00 p.m. so that when all your competition is closed, you're getting 100% of the market demand?",The Ultimate Guide to Selling Ai Receptionists in 2026,https://www.youtube.com/watch?v=z30RQTvdEuc
Jason Wardrop,general_ai_agency,Call scripts are provided in the free course.,How AI Agents for Small Businesses Actually Work (And How to Offer Them),https://www.youtube.com/watch?v=z8cwJhwKoNk
